,Unnamed: 0_level_0,Penalties,Penalties,Penalty Breakdown,Penalty Breakdown,Penalty Breakdown,Penalty Breakdown,Penalty Breakdown,Penalty Breakdown,Penalty Breakdown,Penalty Breakdown,Penalty Breakdown,Penalty Breakdown,Penalty Breakdown,Penalty Breakdown,Penalty Breakdown
,Team,Num,Yds,DG,FS,OH,OPI,OFF,DH,IC,DPI,RP,PF,UR,UC,Other
0,Arizona CardinalsArizona,113,868,4,32,13,3,5,9,3,14,1,0,0,0,29
1,Jacksonville JaguarsJacksonville,107,1071,2,15,10,2,7,10,1,18,5,0,4,0,33
2,Philadelphia EaglesPhiladelphia,107,853,5,25,9,1,7,8,1,11,1,0,8,0,31
3,Kansas City ChiefsKansas City,105,919,1,22,14,3,5,13,1,14,5,0,4,0,23
4,Baltimore RavensBaltimore,104,961,3,20,14,0,7,6,2,14,7,0,3,0,28
5,Buffalo BillsBuffalo,102,941,2,21,16,3,1,9,1,11,6,0,7,0,25
6,New York JetsNY Jets,101,952,3,14,11,4,3,12,3,10,14,0,8,0,19
7,Cleveland BrownsCleveland,100,870,5,21,12,2,9,5,1,4,0,0,5,0,36
8,New Orleans SaintsNew Orleans,98,1005,5,7,12,3,2,13,3,19,8,0,6,0,20
9,Las Vegas RaidersLas Vegas,98,856,4,10,7,2,5,14,0,13,5,0,6,0,32
10,Dallas CowboysDallas,96,849,4,14,7,2,7,10,3,10,5,0,8,0,26
11,Detroit LionsDetroit,95,860,4,16,12,1,4,10,0,11,4,0,6,0,27
12,Carolina PanthersCarolina,95,752,4,11,8,2,7,15,2,7,5,0,8,0,26
13,Indianapolis ColtsIndianapolis,94,899,3,9,15,3,6,9,3,10,2,0,4,0,30
14,Chicago BearsChicago,88,777,6,18,8,0,4,6,4,12,5,0,3,0,22
15,Washington Football TeamWashington,87,697,7,13,9,1,8,7,0,6,4,0,4,0,28
16,Tennessee TitansTennessee,86,783,4,16,11,1,7,8,1,10,3,0,8,0,17
17,San Francisco 49ersSan Francisco,85,731,1,17,20,0,2,10,1,8,6,0,6,0,14
18,Los Angeles ChargersLA Chargers,85,710,3,12,6,5,7,6,2,6,5,0,7,0,26
19,Tampa Bay BuccaneersTampa Bay,84,715,0,12,12,2,8,5,0,7,5,0,4,0,29
20,Green Bay PackersGreen Bay,84,684,4,7,17,0,10,12,1,6,1,0,4,0,22
21,Seattle SeahawksSeattle,84,662,5,19,10,0,1,5,3,6,3,0,4,0,28
22,Atlanta FalconsAtlanta,83,736,1,16,8,1,5,4,0,13,5,0,7,0,23
23,Cincinnati BengalsCincinnati,83,675,3,23,12,4,4,5,1,10,1,0,6,0,14
24,Minnesota VikingsMinnesota,82,650,7,16,18,3,2,5,3,6,0,0,1,0,21
25,Pittsburgh SteelersPittsburgh,81,691,5,10,12,3,1,8,2,9,4,0,4,0,23
26,Denver BroncosDenver,81,670,4,13,7,0,4,5,3,5,3,0,7,0,30
27,New York GiantsNY Giants,81,634,5,17,11,7,3,6,2,5,2,0,6,0,17
28,Houston TexansHouston,80,619,8,18,13,1,0,6,3,9,1,0,2,0,19
29,Miami DolphinsMiami,73,630,2,12,11,0,1,7,5,7,5,0,5,0,18
30,Los Angeles RamsLA Rams,71,655,5,15,12,2,4,3,1,10,1,0,2,0,16
31,New England PatriotsNew England,62,534,1,6,8,1,2,11,2,7,0,0,3,0,21
