,Team,Games,Plays,Against Count,Against Yards,Beneficiary Count,Beneficiary Yards,Net Count,Net Yards,Pre-snap Count,Declined,Offsetting,Total Flags,Home,Away
0,Houston,16,2462,80,619,76,678,-4.0,59.0,36,12,1,93,37,43
1,Kansas City,18,2833,115,1006,104,823,-11.0,-183.0,33,12,3,130,56,59
2,Atlanta,16,2571,83,736,91,800,8.0,64.0,27,18,3,104,39,44
3,Seattle,17,2761,93,722,96,818,3.0,96.0,40,19,2,114,55,38
4,Baltimore,18,2730,117,1080,81,667,-36.0,-413.0,41,21,1,139,50,67
5,Cleveland,18,2823,106,915,95,766,-11.0,-149.0,46,11,1,118,44,62
6,N.Y. Jets,16,2475,101,952,99,900,-2.0,-52.0,26,21,1,123,51,50
7,Buffalo,19,2993,110,998,99,830,-11.0,-168.0,41,16,8,134,50,60
8,Las Vegas,16,2710,98,857,95,915,-3.0,58.0,30,17,3,118,46,52
9,Carolina,16,2441,95,752,85,713,-10.0,-39.0,30,12,3,110,49,46
10,Chicago,17,2668,97,827,99,891,2.0,64.0,39,8,6,111,38,59
11,Detroit,16,2520,95,860,103,807,8.0,-53.0,34,13,5,113,52,43
12,Jacksonville,16,2518,107,1071,78,710,-29.0,-361.0,37,11,1,119,56,51
13,Indianapolis,17,2636,96,905,88,762,-8.0,-143.0,29,10,3,109,42,54
14,Minnesota,16,2527,82,650,83,723,1.0,73.0,29,10,1,93,43,39
15,Green Bay,18,2704,91,736,84,777,-7.0,41.0,30,7,4,102,44,47
16,New England,16,2363,62,534,82,639,20.0,105.0,18,9,1,72,28,34
17,Miami,16,2476,74,635,85,805,11.0,170.0,23,14,8,96,35,39
18,Washington,17,2670,89,722,88,732,-1.0,10.0,39,12,1,102,41,48
19,Philadelphia,16,2585,107,853,112,1036,5.0,183.0,56,10,1,118,51,56
20,LA Chargers,16,2593,85,710,94,869,9.0,159.0,33,7,3,95,48,37
21,Cincinnati,16,2524,83,675,99,795,16.0,120.0,35,11,7,101,39,44
22,New Orleans,18,2802,107,1059,80,629,-27.0,-430.0,28,17,6,130,58,49
23,Tampa Bay,19,2988,96,809,106,1104,10.0,295.0,40,10,5,111,36,60
24,Arizona,16,2587,113,878,104,841,-9.0,-37.0,45,12,6,131,56,57
25,San Francisco,16,2501,85,731,79,709,-6.0,-22.0,25,14,4,103,43,42
26,Dallas,16,2638,96,849,91,733,-5.0,-116.0,35,16,1,113,44,52
27,LA Rams,18,2829,76,705,90,664,14.0,-41.0,29,11,3,90,32,44
28,N.Y. Giants,16,2435,81,644,88,681,7.0,37.0,31,9,2,92,37,44
29,Pittsburgh,17,2691,85,716,106,1000,21.0,284.0,27,6,4,95,53,32
30,Tennessee,17,2703,88,793,108,900,20.0,107.0,32,10,2,100,43,45
31,Denver,16,2715,81,670,106,952,25.0,282.0,28,16,6,103,43,38
32,Totals,268,42236,2974,25669,2974,25669,,,1072,402,106,3482,1439,1535
