"","Penalty","Total","Yds","Pen/G","Yds/G","year"
"1","Holding",612,5585,2.73,24.93,1994
"2","False Start",454,2253,2.03,10.06,1994
"3","Offside",321,1573,1.43,7.02,1994
"4","Pass Interference",208,3430,0.93,15.31,1994
"5","Delay of Game",119,591,0.53,2.64,1994
"6","Encroachment",93,462,0.42,2.06,1994
"7","Face Mask",91,723,0.41,3.23,1994
"8","Unnecessary Roughness",83,1121,0.37,5,1994
"9","Illegal Block",82,845,0.37,3.77,1994
"10","Illegal Contact",64,318,0.29,1.42,1994
"11","Roughing Passer",58,787,0.26,3.51,1994
"12","Illegal Use of Hands",53,428,0.24,1.91,1994
"13","Intentional Grounding",31,372,0.14,1.66,1994
"14","Illegal Plyr Downfld",28,145,0.13,0.65,1994
"15","Illegal Motion",24,121,0.11,0.54,1994
"16","Illegal Procedure",19,93,0.08,0.42,1994
"17","Illegal Formation",14,65,0.06,0.29,1994
"18","FC Interference",12,117,0.05,0.52,1994
"19","Personal Foul",11,147,0.05,0.66,1994
"20","Too Many Men on Field",11,58,0.05,0.26,1994
"21","Illegal Crackback",9,121,0.04,0.54,1994
"22","Running into Kicker",8,69,0.04,0.31,1994
"23","Tripping",8,64,0.04,0.29,1994
"24","Illegal Forward Pass",7,30,0.03,0.13,1994
"25","Ineligible Receiver",6,25,0.03,0.11,1994
"26","Illegal Substitution",3,13,0.01,0.06,1994
"27","Illegal Fair Catch",3,13,0.01,0.06,1994
"28","Taunting",3,45,0.01,0.2,1994
"29","Illegal Shift",3,15,0.01,0.07,1994
"30","Clipping",3,27,0.01,0.12,1994
"31","Illegal Touch",2,5,0.01,0.02,1994
"32","Illegal Receiver",2,5,0.01,0.02,1994
"33","Kickoff OOB",2,10,0.01,0.04,1994
"34","Late Hit",2,21,0.01,0.09,1994
"35","Short Free Kick",1,5,0,0.02,1994
"36","Kicking Loose Ball",1,10,0,0.04,1994
"37","Holding",562,4955,2.34,20.65,1995
"38","False Start",511,2515,2.13,10.48,1995
"39","Offside",295,1431,1.23,5.96,1995
"40","Pass Interference",258,3989,1.08,16.62,1995
"41","Face Mask",114,1078,0.48,4.49,1995
"42","Illegal Block",109,1071,0.45,4.46,1995
"43","Encroachment",108,528,0.45,2.2,1995
"44","Delay of Game",107,519,0.45,2.16,1995
"45","Unnecessary Roughness",100,1358,0.42,5.66,1995
"46","Illegal Use of Hands",63,457,0.26,1.9,1995
"47","Roughing Passer",45,597,0.19,2.49,1995
"48","Illegal Motion",41,205,0.17,0.85,1995
"49","Illegal Contact",30,191,0.13,0.8,1995
"50","Intentional Grounding",27,318,0.11,1.33,1995
"51","Illegal Plyr Downfld",26,135,0.11,0.56,1995
"52","Personal Foul",23,303,0.1,1.26,1995
"53","Illegal Formation",22,109,0.09,0.45,1995
"54","Illegal Procedure",22,109,0.09,0.45,1995
"55","Tripping",14,140,0.06,0.58,1995
"56","Illegal Forward Pass",12,44,0.05,0.18,1995
"57","FC Interference",9,103,0.04,0.43,1995
"58","Illegal Touch",9,25,0.04,0.1,1995
"59","Illegal Shift",8,40,0.03,0.17,1995
"60","No Data",8,36,0.03,0.15,1995
"61","Running into Kicker",7,47,0.03,0.2,1995
"62","Ineligible Receiver",7,35,0.03,0.15,1995
"63","Illegal Crackback",5,66,0.02,0.28,1995
"64","Illegal Substitution",5,21,0.02,0.09,1995
"65","Illegal Receiver",4,10,0.02,0.04,1995
"66","Kickoff OOB",3,15,0.01,0.06,1995
"67","Too Many Men on Field",3,15,0.01,0.06,1995
"68","Clipping",3,42,0.01,0.18,1995
"69","Batting Loose Ball",2,20,0.01,0.08,1995
"70","Illegal Fair Catch",1,5,0,0.02,1995
"71","Late Hit",1,15,0,0.06,1995
"72","Excess Celebration",1,5,0,0.02,1995
"73","Taunting",1,15,0,0.06,1995
"74","False Start",584,2889,2.43,12.04,1996
"75","Holding",565,4953,2.35,20.64,1996
"76","Offside",276,1354,1.15,5.64,1996
"77","Pass Interference",251,3806,1.05,15.86,1996
"78","Illegal Block",133,1333,0.55,5.55,1996
"79","Unnecessary Roughness",125,1690,0.52,7.04,1996
"80","Face Mask",122,1009,0.51,4.2,1996
"81","Delay of Game",118,586,0.49,2.44,1996
"82","Encroachment",102,504,0.43,2.1,1996
"83","Illegal Use of Hands",98,746,0.41,3.11,1996
"84","Roughing Passer",49,671,0.2,2.8,1996
"85","Illegal Contact",36,211,0.15,0.88,1996
"86","Intentional Grounding",34,378,0.14,1.58,1996
"87","Illegal Motion",30,150,0.13,0.63,1996
"88","Illegal Plyr Downfld",28,137,0.12,0.57,1996
"89","Illegal Forward Pass",21,79,0.09,0.33,1996
"90","Illegal Formation",18,90,0.08,0.38,1996
"91","Tripping",15,160,0.06,0.67,1996
"92","Running into Kicker",15,120,0.06,0.5,1996
"93","Illegal Touch",14,37,0.06,0.15,1996
"94","Illegal Procedure",10,73,0.04,0.3,1996
"95","Illegal Shift",9,45,0.04,0.19,1996
"96","FC Interference",8,120,0.03,0.5,1996
"97","Too Many Men on Field",6,37,0.03,0.15,1996
"98","Illegal Crackback",6,90,0.03,0.38,1996
"99","Clipping",4,59,0.02,0.25,1996
"100","Personal Foul",4,45,0.02,0.19,1996
"101","Ineligible Receiver",3,17,0.01,0.07,1996
"102","Late Hit",2,30,0.01,0.13,1996
"103","Defensive Holding",2,10,0.01,0.04,1996
"104","No Data",2,6,0.01,0.03,1996
"105","Taunting",2,22,0.01,0.09,1996
"106","Illegal Block Above Waist",2,20,0.01,0.08,1996
"107","Illegal Fair Catch",2,10,0.01,0.04,1996
"108","Defensive Pass Interference",2,3,0.01,0.01,1996
"109","Offensive Pass Interference",1,10,0,0.04,1996
"110","Illegal Substitution",1,5,0,0.02,1996
"111","Defensive Offside",1,5,0,0.02,1996
"112","Batting Loose Ball",1,5,0,0.02,1996
"113","Excess Celebration",1,5,0,0.02,1996
"114","Offensive Holding",1,10,0,0.04,1996
"115","Palpably Unfair Act",1,2,0,0.01,1996
"116","Kickoff OOB",1,5,0,0.02,1996
"117","Holding",690,6164,2.88,25.68,1997
"118","False Start",627,3102,2.61,12.93,1997
"119","Pass Interference",273,4318,1.14,17.99,1997
"120","Offside",194,951,0.81,3.96,1997
"121","Delay of Game",110,531,0.46,2.21,1997
"122","Encroachment",106,492,0.44,2.05,1997
"123","Unnecessary Roughness",104,1441,0.43,6,1997
"124","Face Mask",89,843,0.37,3.51,1997
"125","Illegal Block",86,859,0.36,3.58,1997
"126","Illegal Use of Hands",65,520,0.27,2.17,1997
"127","Roughing Passer",57,714,0.24,2.98,1997
"128","Intentional Grounding",45,548,0.19,2.28,1997
"129","Illegal Contact",31,158,0.13,0.66,1997
"130","Illegal Plyr Downfld",24,119,0.1,0.5,1997
"131","Running into Kicker",13,142,0.05,0.59,1997
"132","Illegal Formation",11,52,0.05,0.22,1997
"133","Illegal Touch",10,51,0.04,0.21,1997
"134","Illegal Motion",10,50,0.04,0.21,1997
"135","Illegal Forward Pass",8,36,0.03,0.15,1997
"136","Tripping",8,80,0.03,0.33,1997
"137","FC Interference",8,120,0.03,0.5,1997
"138","Illegal Shift",7,35,0.03,0.15,1997
"139","Illegal Receiver",6,30,0.03,0.13,1997
"140","Ineligible Receiver",5,35,0.02,0.15,1997
"141","Illegal Crackback",5,71,0.02,0.3,1997
"142","Taunting",4,48,0.02,0.2,1997
"143","Kickoff OOB",4,20,0.02,0.08,1997
"144","Illegal Fair Catch",4,20,0.02,0.08,1997
"145","Illegal Substitution",4,15,0.02,0.06,1997
"146","Clipping",3,40,0.01,0.17,1997
"147","Personal Foul",3,33,0.01,0.14,1997
"148","Illegal Procedure",3,15,0.01,0.06,1997
"149","Short Free Kick",2,10,0.01,0.04,1997
"150","Unsportsmanlike Conduct",1,15,0,0.06,1997
"151","False Start",725,3557,3.02,14.82,1998
"152","Offensive Holding",645,6186,2.69,25.78,1998
"153","Defensive Pass Interference",244,4210,1.02,17.54,1998
"154","Defensive Offside",205,989,0.85,4.12,1998
"155","Defensive Holding",161,843,0.67,3.51,1998
"156","Delay of Game",151,743,0.63,3.1,1998
"157","Unnecessary Roughness",137,1818,0.57,7.58,1998
"158","Illegal Block Above Wais",110,1031,0.46,4.3,1998
"159","Encroachment",101,491,0.42,2.05,1998
"160","Face Mask (PerFoul-15 yr",85,1125,0.35,4.69,1998
"161","Illegal Use of Hands",81,602,0.34,2.51,1998
"162","Illegal Contact",68,359,0.28,1.5,1998
"163","Roughing the Passer",64,887,0.27,3.7,1998
"164","Offensive Pass Interfere",63,685,0.26,2.85,1998
"165","Unsportsmanlike Conduct",60,795,0.25,3.31,1998
"166","Intentional Grounding",38,440,0.16,1.83,1998
"167","Face Mask (Incdntl-5 yar",33,156,0.14,0.65,1998
"168","Illegal Formation",27,135,0.11,0.56,1998
"169","Neutral Zone Infraction",23,115,0.1,0.48,1998
"170","Illegal Motion",21,105,0.09,0.44,1998
"171","Ineligible Downfield Kic",18,91,0.08,0.38,1998
"172","Roughing the Kicker",14,180,0.06,0.75,1998
"173","Illegal Shift",13,65,0.05,0.27,1998
"174","Fair Catch Interference",13,191,0.05,0.8,1998
"175","Tripping",12,120,0.05,0.5,1998
"176","Offensive Offside",11,55,0.05,0.23,1998
"177","Ineligible Downfield Pas",11,55,0.05,0.23,1998
"178","Illegal Substitution",10,50,0.04,0.21,1998
"179","Illegal Forward Pass",9,44,0.04,0.18,1998
"180","Chop Block",8,108,0.03,0.45,1998
"181","Defensive 12 on Field",8,40,0.03,0.17,1998
"182","Illegal Touch - Kick",7,25,0.03,0.1,1998
"183","Taunting",6,80,0.03,0.33,1998
"184","Offensive 12 on Field",6,23,0.03,0.1,1998
